image_id,image_path,label_path,year,width,height,resolution,n_objects,has_milco,has_nombo,image_category
0001_2010,data\raw\2010\2010\0001_2010.jpg,data\raw\2010\2010\0001_2010.txt,2010,416,416,416x416,0,False,False,empty
0002_2010,data\raw\2010\2010\0002_2010.jpg,data\raw\2010\2010\0002_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0003_2010,data\raw\2010\2010\0003_2010.jpg,data\raw\2010\2010\0003_2010.txt,2010,416,416,416x416,0,False,False,empty
0004_2010,data\raw\2010\2010\0004_2010.jpg,data\raw\2010\2010\0004_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0005_2010,data\raw\2010\2010\0005_2010.jpg,data\raw\2010\2010\0005_2010.txt,2010,416,416,416x416,0,False,False,empty
0006_2010,data\raw\2010\2010\0006_2010.jpg,data\raw\2010\2010\0006_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0007_2010,data\raw\2010\2010\0007_2010.jpg,data\raw\2010\2010\0007_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0008_2010,data\raw\2010\2010\0008_2010.jpg,data\raw\2010\2010\0008_2010.txt,2010,416,416,416x416,0,False,False,empty
0009_2010,data\raw\2010\2010\0009_2010.jpg,data\raw\2010\2010\0009_2010.txt,2010,416,416,416x416,0,False,False,empty
0010_2010,data\raw\2010\2010\0010_2010.jpg,data\raw\2010\2010\0010_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0011_2010,data\raw\2010\2010\0011_2010.jpg,data\raw\2010\2010\0011_2010.txt,2010,416,416,416x416,0,False,False,empty
0012_2010,data\raw\2010\2010\0012_2010.jpg,data\raw\2010\2010\0012_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0013_2010,data\raw\2010\2010\0013_2010.jpg,data\raw\2010\2010\0013_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
0014_2010,data\raw\2010\2010\0014_2010.jpg,data\raw\2010\2010\0014_2010.txt,2010,1024,1024,1024x1024,0,False,False,empty
